position_title,position_description,position_qualifications,position_responsibilities,position_persona,position_minimum_salary,position_maximum_salary,department_id
General Manager,position_description,position_qualifications,position_responsibilities,position_persona,150000,300000,1
Head of Client Services,position_description,position_qualifications,position_responsibilities,position_persona,100000,200000,1
Head of Product Business,position_description,position_qualifications,position_responsibilities,position_persona,100000,200000,1
Operations Manager,position_description,position_qualifications,position_responsibilities,position_persona,70000,100000,1
Account Manager,position_description,position_qualifications,position_responsibilities,position_persona,40000,60000,1
Project Manager,position_description,position_qualifications,position_responsibilities,position_persona,30000,60000,1
QA Specialist,position_description,position_qualifications,position_responsibilities,position_persona,15000,30000,1
Technology Manager,position_description,position_qualifications,position_responsibilities,position_persona,80000,100000,1
Senior Developer,position_description,position_qualifications,position_responsibilities,position_persona,60000,80000,1
Full Stack Developer,position_description,position_qualifications,position_responsibilities,position_persona,30000,60000,1
Developer,position_description,position_qualifications,position_responsibilities,position_persona,15000,30000,1
Test Engineer,position_description,position_qualifications,position_responsibilities,position_persona,15000,25000,1
Creative Manager,position_description,position_qualifications,position_responsibilities,position_persona,70000,100000,1
Creative Designer,position_description,position_qualifications,position_responsibilities,position_persona,25000,50000,1
UI/UX Designer,position_description,position_qualifications,position_responsibilities,position_persona,25000,50000,1
Content Writer,position_description,position_qualifications,position_responsibilities,position_persona,15000,25000,1
Head of Product Business,position_description,position_qualifications,position_responsibilities,position_persona,100000,200000,2
Product Manager,position_description,position_qualifications,position_responsibilities,position_persona,70000,100000,2
Product Coordinator,position_description,position_qualifications,position_responsibilities,position_persona,35000,70000,2
Business Manager,position_description,position_qualifications,position_responsibilities,position_persona,50000,100000,2
Business Development Specialist,position_description,position_qualifications,position_responsibilities,position_persona,20000,50000,2
Relationship Manager,position_description,position_qualifications,position_responsibilities,position_persona,25000,45000,2
Maketing Manager,position_description,position_qualifications,position_responsibilities,position_persona,35000,70000,2
Digital Marketing Specialist,position_description,position_qualifications,position_responsibilities,position_persona,15000,30000,2
SEO Specialist,position_description,position_qualifications,position_responsibilities,position_persona,15000,30000,2
Community Manager,position_description,position_qualifications,position_responsibilities,position_persona,35000,70000,2
Community Specialist,position_description,position_qualifications,position_responsibilities,position_persona,15000,25000,2
Data Encoder,position_description,position_qualifications,position_responsibilities,position_persona,15000,20000,2
Support Manager,position_description,position_qualifications,position_responsibilities,position_persona,25000,40000,2
Customer Service Specialist,position_description,position_qualifications,position_responsibilities,position_persona,12500,25000,2
Executive Assistant,position_description,position_qualifications,position_responsibilities,position_persona,15000,40000,2
Accounting Manager,position_description,position_qualifications,position_responsibilities,position_persona,40000,100000,2
Accounting Assistant,position_description,position_qualifications,position_responsibilities,position_persona,15000,40000,2
Human Resources Manager,position_description,position_qualifications,position_responsibilities,position_persona,25000,40000,2
Office Administrator,position_description,position_qualifications,position_responsibilities,position_persona,12500,25000,2
